ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|capacityPercentChange|capacityPercentChange_lower|capacityPercentChange_upper|extra_regressors_additive|extra_regressors_additive_lower|extra_regressors_additive_upper|inventoryChange|inventoryChange_lower|inventoryChange_upper|nonOPECProductionChange|nonOPECProductionChange_lower|nonOPECProductionChange_upper|nonoecdConsumptionChange|nonoecdConsumptionChange_lower|nonoecdConsumptionChange_upper|oecdConsumptionChange|oecdConsumptionChange_lower|oecdConsumptionChange_upper|oilRigs|oilRigs_lower|oilRigs_upper|saudiProductionChange|saudiProductionChange_lower|saudiProductionChange_upper|weekly|weekly_lower|weekly_upper|worldConsumptionChange|worldConsumptionChange_lower|worldConsumptionChange_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2020-05-31|2022345.7776573938|2076689.7390769143|2086305.2136348528|2022345.7776573938|2022345.7776573938|59431.52268565414|59431.52268565414|59431.52268565414|29295.07549114454|29295.07549114454|29295.07549114454|59430.12978738798|59430.12978738798|59430.12978738798|20083.672032742154|20083.672032742154|20083.672032742154|162998.77231126963|162998.77231126963|162998.77231126963|-130569.13447491711|-130569.13447491711|-130569.13447491711|-73966.61974809002|-73966.61974809002|-73966.61974809002|-101122.64728223055|-101122.64728223055|-101122.64728223055|105115.40499776215|105115.40499776215|105115.40499776215|1.3928982661430864|1.3928982661430864|1.3928982661430864|47595.60645970721|47595.60645970721|47595.60645970721|0.0|0.0|0.0|2081777.300343048
2020-06-01|2022834.56272999|2077936.2346795502|2087790.531544366|2022834.56272999|2022834.56272999|59937.27868790784|59937.27868790784|59937.27868790784|29173.374561063552|29173.374561063552|29173.374561063552|59956.71023466666|59956.71023466666|59956.71023466666|20052.39950856189|20052.39950856189|20052.39950856189|163019.95228522675|163019.95228522675|163019.95228522675|-129580.89098686069|-129580.89098686069|-129580.89098686069|-73550.86000699936|-73550.86000699936|-73550.86000699936|-101748.35633761596|-101748.35633761596|-101748.35633761596|105253.92653551052|105253.92653551052|105253.92653551052|-19.431546758782233|-19.431546758782233|-19.431546758782233|47337.16467577991|47337.16467577991|47337.16467577991|0.0|0.0|0.0|2082771.841417898
2020-06-02|2023323.3478025864|2078863.2671164856|2088548.3913261564|2023323.3478025864|2023323.3478025864|60465.25918740122|60465.25918740122|60465.25918740122|29153.53994416737|29153.53994416737|29153.53994416737|60442.685773062105|60442.685773062105|60442.685773062105|20021.542768888565|20021.542768888565|20021.542768888565|163034.2527700061|163034.2527700061|163034.2527700061|-128607.02579136303|-128607.02579136303|-128607.02579136303|-73380.0735255002|-73380.0735255002|-73380.0735255002|-102364.39881082038|-102364.39881082038|-102364.39881082038|105399.4821792495|105399.4821792495|105399.4821792495|22.57341433910245|22.57341433910245|22.57341433910245|47185.366238434224|47185.366238434224|47185.366238434224|0.0|0.0|0.0|2083788.6069899877
2020-06-03|2023812.1328751827|2079995.225649387|2089241.4491696926|2023812.1328751827|2023812.1328751827|60923.99597523409|60923.99597523409|60923.99597523409|29104.433064162764|29104.433064162764|29104.433064162764|61002.855666717944|61002.855666717944|61002.855666717944|19990.922547380116|19990.922547380116|19990.922547380116|163050.63409422743|163050.63409422743|163050.63409422743|-127651.62606016852|-127651.62606016852|-127651.62606016852|-73204.28958190275|-73204.28958190275|-73204.28958190275|-102969.37219177168|-102969.37219177168|-102969.37219177168|105514.5485997714|105514.5485997714|105514.5485997714|-78.85969148387943|-78.85969148387943|-78.85969148387943|47167.605195019234|47167.605195019234|47167.605195019234|0.0|0.0|0.0|2084736.1288504167
2020-06-04|2024300.917947779|2080736.6984776908|2090405.7926706302|2024300.917947779|2024300.917947779|61412.17049834783|61412.17049834783|61412.17049834783|29072.513750865204|29072.513750865204|29072.513750865204|61449.58211687789|61449.58211687789|61449.58211687789|19960.139377771862|19960.139377771862|19960.139377771862|163093.49580685372|163093.49580685372|163093.49580685372|-126691.2845854739|-126691.2845854739|-126691.2845854739|-72924.77635166056|-72924.77635166056|-72924.77635166056|-103573.03483626185|-103573.03483626185|-103573.03483626185|105608.85393604382|105608.85393604382|105608.85393604382|-37.411618530066455|-37.411618530066455|-37.411618530066455|46903.675018739625|46903.675018739625|46903.675018739625|0.0|0.0|0.0|2085713.0884461268
2020-06-05|2024789.703020375|2081650.084243889|2091209.347483655|2024789.703020375|2024789.703020375|61850.827155989915|61850.827155989915|61850.827155989915|29059.594444339047|29059.594444339047|29059.594444339047|61755.716463873716|61755.716463873716|61755.716463873716|19931.701164657596|19931.701164657596|19931.701164657596|163230.84723565597|163230.84723565597|163230.84723565597|-125736.16951710766|-125736.16951710766|-125736.16951710766|-73081.42545148141|-73081.42545148141|-73081.42545148141|-104197.37415038027|-104197.37415038027|-104197.37415038027|105601.99669961416|105601.99669961416|105601.99669961416|95.11069211616766|95.11069211616766|95.11069211616766|46946.54603857632|46946.54603857632|46946.54603857632|0.0|0.0|0.0|2086640.5301763648
2020-06-06|2025278.488092971|2082413.8019770111|2092475.5968394286|2025278.488092971|2025278.488092971|62380.25237998637|62380.25237998637|62380.25237998637|28560.751531115853|28560.751531115853|28560.751531115853|62363.62652793581|62363.62652793581|62363.62652793581|19900.746413655568|19900.746413655568|19900.746413655568|163263.7871614783|163263.7871614783|163263.7871614783|-124753.11521855218|-124753.11521855218|-124753.11521855218|-71588.04049177756|-71588.04049177756|-71588.04049177756|-104823.83262362707|-104823.83262362707|-104823.83262362707|105707.96343026859|105707.96343026859|105707.96343026859|16.625852050562493|16.625852050562493|16.625852050562493|46095.36632537433|46095.36632537433|46095.36632537433|0.0|0.0|0.0|2087658.7404729575
2020-06-07|2025767.2731655673|2083553.837276771|2093229.0380096585|2025767.2731655673|2025767.2731655673|62830.94425855498|62830.94425855498|62830.94425855498|28541.400605003626|28541.400605003626|28541.400605003626|62829.55136028882|62829.55136028882|62829.55136028882|19869.970174293187|19869.970174293187|19869.970174293187|163297.55229534404|163297.55229534404|163297.55229534404|-123769.65082902851|-123769.65082902851|-123769.65082902851|-71415.87113820945|-71415.87113820945|-71415.87113820945|-105451.43706325715|-105451.43706325715|-105451.43706325715|105817.62759029509|105817.62759029509|105817.62759029509|1.3928982661315585|1.3928982661315585|1.3928982661315585|45939.959725848006|45939.959725848006|45939.959725848006|0.0|0.0|0.0|2088598.2174241224
2020-06-08|2026256.0582381636|2084708.8404626015|2094549.01971403|2026256.0582381636|2026256.0582381636|63336.70026080873|63336.70026080873|63336.70026080873|28419.699674922813|28419.699674922813|28419.699674922813|63356.13180756743|63356.13180756743|63356.13180756743|19838.697650112925|19838.697650112925|19838.697650112925|163318.73226930125|163318.73226930125|163318.73226930125|-122781.4073409721|-122781.4073409721|-122781.4073409721|-71000.11139711959|-71000.11139711959|-71000.11139711959|-106077.1461186426|-106077.1461186426|-106077.1461186426|105956.14912804349|105956.14912804349|105956.14912804349|-19.431546758723517|-19.431546758723517|-19.431546758723517|45681.517941921236|45681.517941921236|45681.517941921236|0.0|0.0|0.0|2089592.7584989723
2020-06-09|2026744.8433107596|2086038.2816921724|2095012.5862117421|2026744.8433107596|2026744.8433107596|63864.68076030199|63864.68076030199|63864.68076030199|28399.86505802634|28399.86505802634|28399.86505802634|63842.1073459627|63842.1073459627|63842.1073459627|19807.84091043961|19807.84091043961|19807.84091043961|163333.0327540806|163333.0327540806|163333.0327540806|-121807.54214547442|-121807.54214547442|-121807.54214547442|-70829.32491561954|-70829.32491561954|-70829.32491561954|-106693.18859184704|-106693.18859184704|-106693.18859184704|106101.70477178234|106101.70477178234|106101.70477178234|22.573414339281165|22.573414339281165|22.573414339281165|45529.71950457481|45529.71950457481|45529.71950457481|0.0|0.0|0.0|2090609.5240710615
2020-06-10|2027233.628383356|2086946.5367748276|2096397.209960986|2027233.628383356|2027233.628383356|64323.41754813475|64323.41754813475|64323.41754813475|28350.75817802265|28350.75817802265|28350.75817802265|64402.277239618365|64402.277239618365|64402.277239618365|19777.22068893115|19777.22068893115|19777.22068893115|163349.4140783019|163349.4140783019|163349.4140783019|-120852.14241428|-120852.14241428|-120852.14241428|-70653.54097202473|-70653.54097202473|-70653.54097202473|-107298.16197279833|-107298.16197279833|-107298.16197279833|106216.77119230428|106216.77119230428|106216.77119230428|-78.8596914836542|-78.8596914836542|-78.8596914836542|45511.95846116145|45511.95846116145|45511.95846116145|0.0|0.0|0.0|2091557.0459314906
