"date","oilInventory","inventoryChange","nonOPECProductionChange","saudiProductionChange","nonoecdConsumptionChange","oecdConsumptionChange","capacityPercentChange","worldConsumptionChange","worldGDPChange"
2010-01-01,1754936,-65.07,1.86,0.3,6.88,-1.08,4.22,2.45,5.13
2010-01-02,1755442,-64.3421111111111,1.863,0.304777777777778,6.86122222222222,-1.04811111111111,4.22355555555556,2.46033333333333,5.135
2010-01-03,1755948,-63.6142222222222,1.866,0.309555555555556,6.84244444444444,-1.01622222222222,4.22711111111111,2.47066666666667,5.14
2010-01-04,1756454,-62.8863333333333,1.869,0.314333333333333,6.82366666666667,-0.984333333333333,4.23066666666667,2.481,5.145
2010-01-05,1756960,-62.1584444444444,1.872,0.319111111111111,6.80488888888889,-0.952444444444445,4.23422222222222,2.49133333333333,5.15
2010-01-06,1757466,-61.4305555555556,1.875,0.323888888888889,6.78611111111111,-0.920555555555556,4.23777777777778,2.50166666666667,5.155
2010-01-07,1757972,-60.7026666666667,1.878,0.328666666666667,6.76733333333333,-0.888666666666667,4.24133333333333,2.512,5.16
2010-01-08,1758478,-59.9747777777778,1.881,0.333444444444444,6.74855555555556,-0.856777777777778,4.24488888888889,2.52233333333333,5.165
2010-01-09,1758252.28571429,-59.2468888888889,1.884,0.338222222222222,6.72977777777778,-0.824888888888889,4.24844444444444,2.53266666666667,5.17
2010-01-10,1758026.57142857,-58.519,1.887,0.343,6.711,-0.793,4.252,2.543,5.175
2010-01-11,1757800.85714286,-57.7911111111111,1.89,0.347777777777778,6.69222222222222,-0.761111111111111,4.25555555555556,2.55333333333333,5.18
2010-01-12,1757575.14285714,-57.0632222222222,1.893,0.352555555555556,6.67344444444444,-0.729222222222222,4.25911111111111,2.56366666666667,5.185
2010-01-13,1757349.42857143,-56.3353333333333,1.896,0.357333333333333,6.65466666666667,-0.697333333333333,4.26266666666667,2.574,5.19
2010-01-14,1757123.71428571,-55.6074444444444,1.899,0.362111111111111,6.63588888888889,-0.665444444444445,4.26622222222222,2.58433333333333,5.195
2010-01-15,1756898,-54.8795555555555,1.902,0.366888888888889,6.61711111111111,-0.633555555555556,4.26977777777778,2.59466666666667,5.2
2010-01-16,1756078.71428571,-54.1516666666667,1.905,0.371666666666667,6.59833333333333,-0.601666666666667,4.27333333333333,2.605,5.205
2010-01-17,1755259.42857143,-53.4237777777778,1.908,0.376444444444444,6.57955555555556,-0.569777777777778,4.27688888888889,2.61533333333333,5.21
2010-01-18,1754440.14285714,-52.6958888888889,1.911,0.381222222222222,6.56077777777778,-0.537888888888889,4.28044444444444,2.62566666666667,5.215
2010-01-19,1753620.85714286,-51.968,1.914,0.386,6.542,-0.506,4.284,2.636,5.22
2010-01-20,1752801.57142857,-51.2401111111111,1.917,0.390777777777778,6.52322222222222,-0.474111111111111,4.28755555555556,2.64633333333333,5.225
2010-01-21,1751982.28571429,-50.5122222222222,1.92,0.395555555555556,6.50444444444444,-0.442222222222222,4.29111111111111,2.65666666666667,5.23
2010-01-22,1751163,-49.7843333333333,1.923,0.400333333333333,6.48566666666667,-0.410333333333333,4.29466666666667,2.667,5.235
2010-01-23,1751273.14285714,-49.0564444444444,1.926,0.405111111111111,6.46688888888889,-0.378444444444444,4.29822222222222,2.67733333333333,5.24
2010-01-24,1751383.28571429,-48.3285555555556,1.929,0.409888888888889,6.44811111111111,-0.346555555555556,4.30177777777778,2.68766666666667,5.245
2010-01-25,1751493.42857143,-47.6006666666667,1.932,0.414666666666667,6.42933333333333,-0.314666666666667,4.30533333333333,2.698,5.25
2010-01-26,1751603.57142857,-46.8727777777778,1.935,0.419444444444444,6.41055555555556,-0.282777777777778,4.30888888888889,2.70833333333333,5.255
2010-01-27,1751713.71428571,-46.1448888888889,1.938,0.424222222222222,6.39177777777778,-0.250888888888889,4.31244444444444,2.71866666666667,5.26
2010-01-28,1751823.85714286,-45.417,1.941,0.429,6.373,-0.219,4.316,2.729,5.265
2010-01-29,1751934,-44.6891111111111,1.944,0.433777777777778,6.35422222222222,-0.187111111111111,4.31955555555556,2.73933333333333,5.27
2010-01-30,1752185.42857143,-43.9612222222222,1.947,0.438555555555556,6.33544444444444,-0.155222222222222,4.32311111111111,2.74966666666667,5.275
2010-01-31,1752436.85714286,-43.2333333333333,1.95,0.443333333333333,6.31666666666667,-0.123333333333333,4.32666666666667,2.76,5.28
2010-02-01,1752688.28571429,-42.5054444444444,1.953,0.448111111111111,6.29788888888889,-0.0914444444444444,4.33022222222222,2.77033333333333,5.285
2010-02-02,1752939.71428571,-41.7775555555556,1.956,0.452888888888889,6.27911111111111,-0.0595555555555556,4.33377777777778,2.78066666666667,5.29
2010-02-03,1753191.14285714,-41.0496666666667,1.959,0.457666666666667,6.26033333333333,-0.0276666666666667,4.33733333333333,2.791,5.295
2010-02-04,1753442.57142857,-40.3217777777778,1.962,0.462444444444444,6.24155555555556,0.00422222222222213,4.34088888888889,2.80133333333333,5.3
2010-02-05,1753694,-39.5938888888889,1.965,0.467222222222222,6.22277777777778,0.0361111111111112,4.34444444444444,2.81166666666667,5.305
2010-02-06,1753348.71428571,-38.866,1.968,0.472,6.204,0.0680000000000001,4.348,2.822,5.31
2010-02-07,1753003.42857143,-38.1381111111111,1.971,0.476777777777778,6.18522222222222,0.0998888888888889,4.35155555555556,2.83233333333333,5.315
2010-02-08,1752658.14285714,-37.4102222222222,1.974,0.481555555555556,6.16644444444444,0.131777777777778,4.35511111111111,2.84266666666667,5.32
2010-02-09,1752312.85714286,-36.6823333333333,1.977,0.486333333333333,6.14766666666667,0.163666666666667,4.35866666666667,2.853,5.325
2010-02-10,1751967.57142857,-35.9544444444444,1.98,0.491111111111111,6.12888888888889,0.195555555555555,4.36222222222222,2.86333333333333,5.33
2010-02-11,1751622.28571429,-35.2265555555555,1.983,0.495888888888889,6.11011111111111,0.227444444444444,4.36577777777778,2.87366666666667,5.335
2010-02-12,1751277,-34.4986666666667,1.986,0.500666666666667,6.09133333333333,0.259333333333333,4.36933333333333,2.884,5.34
2010-02-13,1751483.14285714,-33.7707777777778,1.989,0.505444444444444,6.07255555555556,0.291222222222222,4.37288888888889,2.89433333333333,5.345
2010-02-14,1751689.28571429,-33.0428888888889,1.992,0.510222222222222,6.05377777777778,0.323111111111111,4.37644444444444,2.90466666666667,5.35
2010-02-15,1751895.42857143,-32.315,1.995,0.515,6.035,0.355,4.38,2.915,5.355
2010-02-16,1752101.57142857,-31.5871111111111,1.998,0.519777777777778,6.01622222222222,0.386888888888889,4.38355555555556,2.92533333333333,5.36
2010-02-17,1752307.71428571,-30.8592222222222,2.001,0.524555555555556,5.99744444444444,0.418777777777778,4.38711111111111,2.93566666666667,5.365
2010-02-18,1752513.85714286,-30.1313333333333,2.004,0.529333333333333,5.97866666666667,0.450666666666667,4.39066666666667,2.946,5.37
2010-02-19,1752720,-29.4034444444444,2.007,0.534111111111111,5.95988888888889,0.482555555555555,4.39422222222222,2.95633333333333,5.375
2010-02-20,1752669.71428571,-28.6755555555556,2.01,0.538888888888889,5.94111111111111,0.514444444444444,4.39777777777778,2.96666666666667,5.38
2010-02-21,1752619.42857143,-27.9476666666667,2.013,0.543666666666667,5.92233333333333,0.546333333333333,4.40133333333333,2.977,5.385
2010-02-22,1752569.14285714,-27.2197777777778,2.016,0.548444444444444,5.90355555555556,0.578222222222222,4.40488888888889,2.98733333333333,5.39
2010-02-23,1752518.85714286,-26.4918888888889,2.019,0.553222222222222,5.88477777777778,0.610111111111111,4.40844444444444,2.99766666666667,5.395
2010-02-24,1752468.57142857,-25.764,2.022,0.558,5.866,0.642,4.412,3.008,5.4
2010-02-25,1752418.28571429,-25.0361111111111,2.025,0.562777777777778,5.84722222222222,0.673888888888889,4.41555555555556,3.01833333333333,5.405
2010-02-26,1752368,-24.3082222222222,2.028,0.567555555555556,5.82844444444444,0.705777777777778,4.41911111111111,3.02866666666667,5.41
2010-02-27,1751613.71428571,-23.5803333333333,2.031,0.572333333333333,5.80966666666667,0.737666666666666,4.42266666666667,3.039,5.415
2010-02-28,1750859.42857143,-22.8524444444444,2.034,0.577111111111111,5.79088888888889,0.769555555555556,4.42622222222222,3.04933333333333,5.42
2010-03-01,1750105.14285714,-22.1245555555556,2.037,0.581888888888889,5.77211111111111,0.801444444444444,4.42977777777778,3.05966666666667,5.425
2010-03-02,1749350.85714286,-21.3966666666667,2.04,0.586666666666667,5.75333333333333,0.833333333333333,4.43333333333333,3.07,5.43
2010-03-03,1748596.57142857,-20.6687777777778,2.043,0.591444444444444,5.73455555555556,0.865222222222222,4.43688888888889,3.08033333333333,5.435
2010-03-04,1747842.28571429,-19.9408888888889,2.046,0.596222222222222,5.71577777777778,0.897111111111111,4.44044444444444,3.09066666666667,5.44
2010-03-05,1747088,-19.213,2.049,0.601,5.697,0.929,4.444,3.101,5.445
2010-03-06,1746739,-18.4851111111111,2.052,0.605777777777778,5.67822222222222,0.960888888888889,4.44755555555556,3.11133333333333,5.45
2010-03-07,1746390,-17.7572222222222,2.055,0.610555555555556,5.65944444444444,0.992777777777778,4.45111111111111,3.12166666666667,5.455
2010-03-08,1746041,-17.0293333333333,2.058,0.615333333333333,5.64066666666667,1.02466666666667,4.45466666666667,3.132,5.46
2010-03-09,1745692,-16.3014444444444,2.061,0.620111111111111,5.62188888888889,1.05655555555556,4.45822222222222,3.14233333333333,5.465
2010-03-10,1745343,-15.5735555555556,2.064,0.624888888888889,5.60311111111111,1.08844444444444,4.46177777777778,3.15266666666667,5.47
2010-03-11,1744994,-14.8456666666667,2.067,0.629666666666667,5.58433333333333,1.12033333333333,4.46533333333333,3.163,5.475
2010-03-12,1744645,-14.1177777777778,2.07,0.634444444444444,5.56555555555556,1.15222222222222,4.46888888888889,3.17333333333333,5.48
2010-03-13,1744695,-13.3898888888889,2.073,0.639222222222222,5.54677777777778,1.18411111111111,4.47244444444444,3.18366666666667,5.485
2010-03-14,1744745,-12.662,2.076,0.644,5.528,1.216,4.476,3.194,5.49
2010-03-15,1744795,-11.9341111111111,2.079,0.648777777777778,5.50922222222222,1.24788888888889,4.47955555555556,3.20433333333333,5.495
2010-03-16,1744845,-11.2062222222222,2.082,0.653555555555555,5.49044444444444,1.27977777777778,4.48311111111111,3.21466666666667,5.5
2010-03-17,1744895,-10.4783333333333,2.085,0.658333333333333,5.47166666666667,1.31166666666667,4.48666666666667,3.225,5.505
2010-03-18,1744945,-9.75044444444445,2.088,0.663111111111111,5.45288888888889,1.34355555555556,4.49022222222222,3.23533333333333,5.51
2010-03-19,1744995,-9.02255555555556,2.091,0.667888888888889,5.43411111111111,1.37544444444444,4.49377777777778,3.24566666666667,5.515
2010-03-20,1745453,-8.29466666666666,2.094,0.672666666666667,5.41533333333333,1.40733333333333,4.49733333333333,3.256,5.52
2010-03-21,1745911,-7.56677777777778,2.097,0.677444444444444,5.39655555555556,1.43922222222222,4.50088888888889,3.26633333333333,5.525
2010-03-22,1746369,-6.8388888888889,2.1,0.682222222222222,5.37777777777778,1.47111111111111,4.50444444444444,3.27666666666667,5.53
2010-03-23,1746827,-6.111,2.103,0.687,5.359,1.503,4.508,3.287,5.535
2010-03-24,1747285,-5.38311111111111,2.106,0.691777777777778,5.34022222222222,1.53488888888889,4.51155555555556,3.29733333333333,5.54
2010-03-25,1747743,-4.65522222222222,2.109,0.696555555555556,5.32144444444444,1.56677777777778,4.51511111111111,3.30766666666667,5.545
2010-03-26,1748201,-3.92733333333334,2.112,0.701333333333333,5.30266666666667,1.59866666666667,4.51866666666667,3.318,5.55
2010-03-27,1749247.57142857,-3.19944444444445,2.115,0.706111111111111,5.28388888888889,1.63055555555556,4.52222222222222,3.32833333333333,5.555
2010-03-28,1750294.14285714,-2.47155555555555,2.118,0.710888888888889,5.26511111111111,1.66244444444444,4.52577777777778,3.33866666666667,5.56
2010-03-29,1751340.71428571,-1.74366666666667,2.121,0.715666666666667,5.24633333333333,1.69433333333333,4.52933333333333,3.349,5.565
2010-03-30,1752387.28571429,-1.01577777777779,2.124,0.720444444444444,5.22755555555556,1.72622222222222,4.53288888888889,3.35933333333333,5.57
2010-03-31,1753433.85714286,-0.287888888888887,2.127,0.725222222222222,5.20877777777778,1.75811111111111,4.53644444444444,3.36966666666667,5.575
2010-04-01,1754480.42857143,0.44,2.13,0.73,5.19,1.79,4.54,3.38,5.58
2010-04-02,1755527,0.0951648351648351,2.12582417582418,0.731868131868132,5.1756043956044,1.8110989010989,4.52021978021978,3.38450549450549,5.57714285714286
2010-04-03,1755486,-0.24967032967033,2.12164835164835,0.733736263736264,5.16120879120879,1.8321978021978,4.50043956043956,3.38901098901099,5.57428571428571
2010-04-04,1755445,-0.594505494505495,2.11747252747253,0.735604395604396,5.14681318681319,1.8532967032967,4.48065934065934,3.39351648351648,5.57142857142857
2010-04-05,1755404,-0.93934065934066,2.1132967032967,0.737472527472527,5.13241758241758,1.8743956043956,4.46087912087912,3.39802197802198,5.56857142857143
2010-04-06,1755363,-1.28417582417582,2.10912087912088,0.739340659340659,5.11802197802198,1.89549450549451,4.4410989010989,3.40252747252747,5.56571428571429
2010-04-07,1755322,-1.62901098901099,2.10494505494506,0.741208791208791,5.10362637362637,1.91659340659341,4.42131868131868,3.40703296703297,5.56285714285714
2010-04-08,1755281,-1.97384615384615,2.10076923076923,0.743076923076923,5.08923076923077,1.93769230769231,4.40153846153846,3.41153846153846,5.56
2010-04-09,1755240,-2.31868131868132,2.09659340659341,0.744945054945055,5.07483516483517,1.95879120879121,4.38175824175824,3.41604395604396,5.55714285714286
2010-04-10,1756774.57142857,-2.66351648351648,2.09241758241758,0.746813186813187,5.06043956043956,1.97989010989011,4.36197802197802,3.42054945054945,5.55428571428571
2010-04-11,1758309.14285714,-3.00835164835165,2.08824175824176,0.748681318681319,5.04604395604396,2.00098901098901,4.3421978021978,3.42505494505494,5.55142857142857
2010-04-12,1759843.71428571,-3.35318681318681,2.08406593406593,0.750549450549451,5.03164835164835,2.02208791208791,4.32241758241758,3.42956043956044,5.54857142857143
2010-04-13,1761378.28571429,-3.69802197802198,2.07989010989011,0.752417582417582,5.01725274725275,2.04318681318681,4.30263736263736,3.43406593406593,5.54571428571429
2010-04-14,1762912.85714286,-4.04285714285714,2.07571428571429,0.754285714285714,5.00285714285714,2.06428571428571,4.28285714285714,3.43857142857143,5.54285714285714
2010-04-15,1764447.42857143,-4.38769230769231,2.07153846153846,0.756153846153846,4.98846153846154,2.08538461538462,4.26307692307692,3.44307692307692,5.54
2010-04-16,1765982,-4.73252747252747,2.06736263736264,0.758021978021978,4.97406593406593,2.10648351648352,4.2432967032967,3.44758241758242,5.53714285714286
2010-04-17,1767823.71428571,-5.07736263736264,2.06318681318681,0.75989010989011,4.95967032967033,2.12758241758242,4.22351648351648,3.45208791208791,5.53428571428571
2010-04-18,1769665.42857143,-5.4221978021978,2.05901098901099,0.761758241758242,4.94527472527473,2.14868131868132,4.20373626373626,3.45659340659341,5.53142857142857
2010-04-19,1771507.14285714,-5.76703296703297,2.05483516483516,0.763626373626374,4.93087912087912,2.16978021978022,4.18395604395604,3.4610989010989,5.52857142857143
2010-04-20,1773348.85714286,-6.11186813186813,2.05065934065934,0.765494505494505,4.91648351648352,2.19087912087912,4.16417582417582,3.4656043956044,5.52571428571429
2010-04-21,1775190.57142857,-6.4567032967033,2.04648351648352,0.767362637362637,4.90208791208791,2.21197802197802,4.1443956043956,3.47010989010989,5.52285714285714
2010-04-22,1777032.28571429,-6.80153846153846,2.04230769230769,0.769230769230769,4.88769230769231,2.23307692307692,4.12461538461538,3.47461538461538,5.52
2010-04-23,1778874,-7.14637362637363,2.03813186813187,0.771098901098901,4.8732967032967,2.25417582417582,4.10483516483516,3.47912087912088,5.51714285714286
2010-04-24,1780272.71428571,-7.49120879120879,2.03395604395604,0.772967032967033,4.8589010989011,2.27527472527473,4.08505494505494,3.48362637362637,5.51428571428571
2010-04-25,1781671.42857143,-7.83604395604396,2.02978021978022,0.774835164835165,4.8445054945055,2.29637362637363,4.06527472527473,3.48813186813187,5.51142857142857
2010-04-26,1783070.14285714,-8.18087912087912,2.0256043956044,0.776703296703297,4.83010989010989,2.31747252747253,4.04549450549451,3.49263736263736,5.50857142857143
2010-04-27,1784468.85714286,-8.52571428571429,2.02142857142857,0.778571428571429,4.81571428571429,2.33857142857143,4.02571428571429,3.49714285714286,5.50571428571429
2010-04-28,1785867.57142857,-8.87054945054945,2.01725274725275,0.78043956043956,4.80131868131868,2.35967032967033,4.00593406593407,3.50164835164835,5.50285714285714
2010-04-29,1787266.28571429,-9.21538461538462,2.01307692307692,0.782307692307692,4.78692307692308,2.38076923076923,3.98615384615385,3.50615384615385,5.5
2010-04-30,1788665,-9.56021978021978,2.0089010989011,0.784175824175824,4.77252747252747,2.40186813186813,3.96637362637363,3.51065934065934,5.49714285714286
2010-05-01,1789150,-9.90505494505495,2.00472527472527,0.786043956043956,4.75813186813187,2.42296703296703,3.94659340659341,3.51516483516484,5.49428571428571
2010-05-02,1789635,-10.2498901098901,2.00054945054945,0.787912087912088,4.74373626373626,2.44406593406593,3.92681318681319,3.51967032967033,5.49142857142857
2010-05-03,1790120,-10.5947252747253,1.99637362637363,0.78978021978022,4.72934065934066,2.46516483516484,3.90703296703297,3.52417582417582,5.48857142857143
2010-05-04,1790605,-10.9395604395604,1.9921978021978,0.791648351648352,4.71494505494505,2.48626373626374,3.88725274725275,3.52868131868132,5.48571428571429
2010-05-05,1791090,-11.2843956043956,1.98802197802198,0.793516483516484,4.70054945054945,2.50736263736264,3.86747252747253,3.53318681318681,5.48285714285714
2010-05-06,1791575,-11.6292307692308,1.98384615384615,0.795384615384615,4.68615384615385,2.52846153846154,3.84769230769231,3.53769230769231,5.48
2010-05-07,1792060,-11.9740659340659,1.97967032967033,0.797252747252747,4.67175824175824,2.54956043956044,3.82791208791209,3.5421978021978,5.47714285714286
2010-05-08,1792231.14285714,-12.3189010989011,1.97549450549451,0.799120879120879,4.65736263736264,2.57065934065934,3.80813186813187,3.5467032967033,5.47428571428571
2010-05-09,1792402.28571429,-12.6637362637363,1.97131868131868,0.800989010989011,4.64296703296703,2.59175824175824,3.78835164835165,3.55120879120879,5.47142857142857
2010-05-10,1792573.42857143,-13.0085714285714,1.96714285714286,0.802857142857143,4.62857142857143,2.61285714285714,3.76857142857143,3.55571428571429,5.46857142857143
2010-05-11,1792744.57142857,-13.3534065934066,1.96296703296703,0.804725274725275,4.61417582417582,2.63395604395604,3.74879120879121,3.56021978021978,5.46571428571429
2010-05-12,1792915.71428571,-13.6982417582418,1.95879120879121,0.806593406593407,4.59978021978022,2.65505494505495,3.72901098901099,3.56472527472527,5.46285714285714
2010-05-13,1793086.85714286,-14.0430769230769,1.95461538461538,0.808461538461538,4.58538461538462,2.67615384615385,3.70923076923077,3.56923076923077,5.46
2010-05-14,1793258,-14.3879120879121,1.95043956043956,0.81032967032967,4.57098901098901,2.69725274725275,3.68945054945055,3.57373626373626,5.45714285714286
2010-05-15,1794091.42857143,-14.7327472527473,1.94626373626374,0.812197802197802,4.55659340659341,2.71835164835165,3.66967032967033,3.57824175824176,5.45428571428571
2010-05-16,1794924.85714286,-15.0775824175824,1.94208791208791,0.814065934065934,4.5421978021978,2.73945054945055,3.64989010989011,3.58274725274725,5.45142857142857
2010-05-17,1795758.28571429,-15.4224175824176,1.93791208791209,0.815934065934066,4.5278021978022,2.76054945054945,3.63010989010989,3.58725274725275,5.44857142857143
2010-05-18,1796591.71428571,-15.7672527472527,1.93373626373626,0.817802197802198,4.51340659340659,2.78164835164835,3.61032967032967,3.59175824175824,5.44571428571429
