ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|weekly|weekly_lower|weekly_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2020-05-31|-0.042772719513379305|-0.043306145615760495|-0.04225246410280076|-0.042772719513379305|-0.042772719513379305|-5.303338553438311e-06|-5.303338553438311e-06|-5.303338553438311e-06|-5.303338553438311e-06|-5.303338553438311e-06|-5.303338553438311e-06|0.0|0.0|0.0|-0.042778022851932745
2020-06-01|-0.04278080367308087|-0.043267132852045864|-0.04225095113749047|-0.04278080367308087|-0.04278080367308087|-1.2306793120725675e-06|-1.2306793120725675e-06|-1.2306793120725675e-06|-1.2306793120725675e-06|-1.2306793120725675e-06|-1.2306793120725675e-06|0.0|0.0|0.0|-0.04278203435239294
2020-06-02|-0.04278888783278244|-0.04330900460103816|-0.04231368392216306|-0.04278888783278244|-0.04278888783278244|4.1449595296840055e-06|4.1449595296840055e-06|4.1449595296840055e-06|4.1449595296840055e-06|4.1449595296840055e-06|4.1449595296840055e-06|0.0|0.0|0.0|-0.042784742873252755
2020-06-03|-0.042796971992484|-0.04331281107909204|-0.042261924382487694|-0.042796971992484|-0.042796971992484|9.126486065340442e-06|9.126486065340442e-06|9.126486065340442e-06|9.126486065340442e-06|9.126486065340442e-06|9.126486065340442e-06|0.0|0.0|0.0|-0.04278784550641866
2020-06-04|-0.04280505615218557|-0.0432844372242177|-0.042302971832878275|-0.04280505615218557|-0.04280505615218557|9.092610292781159e-06|9.092610292781159e-06|9.092610292781159e-06|9.092610292781159e-06|9.092610292781159e-06|9.092610292781159e-06|0.0|0.0|0.0|-0.04279596354189279
2020-06-05|-0.042813140311887134|-0.04333346305391324|-0.042338056236477184|-0.042813140311887134|-0.042813140311887134|-8.837677472097625e-06|-8.837677472097625e-06|-8.837677472097625e-06|-8.837677472097625e-06|-8.837677472097625e-06|-8.837677472097625e-06|0.0|0.0|0.0|-0.04282197798935923
2020-06-06|-0.042821224471588704|-0.04330114111688576|-0.042367576751233885|-0.042821224471588704|-0.042821224471588704|-6.9923605501574655e-06|-6.9923605501574655e-06|-6.9923605501574655e-06|-6.9923605501574655e-06|-6.9923605501574655e-06|-6.9923605501574655e-06|0.0|0.0|0.0|-0.04282821683213886
2020-06-07|-0.04282930863129027|-0.04335526575549455|-0.042343435640950305|-0.04282930863129027|-0.04282930863129027|-5.3033385534314795e-06|-5.3033385534314795e-06|-5.3033385534314795e-06|-5.3033385534314795e-06|-5.3033385534314795e-06|-5.3033385534314795e-06|0.0|0.0|0.0|-0.0428346119698437
2020-06-08|-0.042837392790991836|-0.04331562199897132|-0.04235040554665868|-0.04283739279099184|-0.04283739279099184|-1.2306793120754423e-06|-1.2306793120754423e-06|-1.2306793120754423e-06|-1.2306793120754423e-06|-1.2306793120754423e-06|-1.2306793120754423e-06|0.0|0.0|0.0|-0.04283862347030391
2020-06-09|-0.04284547695069339|-0.04333478090008335|-0.042340595937975956|-0.04284547695069339|-0.04284547695069339|4.144959529660902e-06|4.144959529660902e-06|4.144959529660902e-06|4.144959529660902e-06|4.144959529660902e-06|4.144959529660902e-06|0.0|0.0|0.0|-0.04284133199116373
2020-06-10|-0.04285356111039496|-0.04334961641881983|-0.042337729126832105|-0.04285356111039496|-0.04285356111039496|9.126486065326745e-06|9.126486065326745e-06|9.126486065326745e-06|9.126486065326745e-06|9.126486065326745e-06|9.126486065326745e-06|0.0|0.0|0.0|-0.04284443462432964
2020-06-11|-0.042861645270096525|-0.04337507152851114|-0.04234882112970174|-0.042861645270096525|-0.042861645270096525|9.092610292767632e-06|9.092610292767632e-06|9.092610292767632e-06|9.092610292767632e-06|9.092610292767632e-06|9.092610292767632e-06|0.0|0.0|0.0|-0.042852552659803755
2020-06-12|-0.042869729429798095|-0.04338938284313118|-0.0423808112221587|-0.042869729429798095|-0.042869729429798095|-8.837677472104622e-06|-8.837677472104622e-06|-8.837677472104622e-06|-8.837677472104622e-06|-8.837677472104622e-06|-8.837677472104622e-06|0.0|0.0|0.0|-0.0428785671072702
2020-06-13|-0.04287781358949966|-0.04337045596864625|-0.042353467335741135|-0.04287781358949966|-0.04287781358949966|-6.9923605501471665e-06|-6.9923605501471665e-06|-6.9923605501471665e-06|-6.9923605501471665e-06|-6.9923605501471665e-06|-6.9923605501471665e-06|0.0|0.0|0.0|-0.04288480595004981
2020-06-14|-0.04288589774920123|-0.043369052422387235|-0.042382167719563414|-0.04288589774920123|-0.04288589774920123|-5.303338553458251e-06|-5.303338553458251e-06|-5.303338553458251e-06|-5.303338553458251e-06|-5.303338553458251e-06|-5.303338553458251e-06|0.0|0.0|0.0|-0.04289120108775469
2020-06-15|-0.04289398190890279|-0.04340091621482482|-0.042398353675563605|-0.04289398190890279|-0.04289398190890279|-1.2306793120783174e-06|-1.2306793120783174e-06|-1.2306793120783174e-06|-1.2306793120783174e-06|-1.2306793120783174e-06|-1.2306793120783174e-06|0.0|0.0|0.0|-0.04289521258821487
2020-06-16|-0.04290206606860436|-0.04341182735106763|-0.04238470660453659|-0.04290206606860436|-0.04290206606860436|4.144959529653181e-06|4.144959529653181e-06|4.144959529653181e-06|4.144959529653181e-06|4.144959529653181e-06|4.144959529653181e-06|0.0|0.0|0.0|-0.042897921109074706
2020-06-17|-0.042910150228305924|-0.04341406668137006|-0.04243445834593666|-0.042910150228305924|-0.042910150228305924|9.126486065339854e-06|9.126486065339854e-06|9.126486065339854e-06|9.126486065339854e-06|9.126486065339854e-06|9.126486065339854e-06|0.0|0.0|0.0|-0.042901023742240585
