ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|weekly|weekly_lower|weekly_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2020-05-31|-0.006818476826541809|-0.006847655258272012|-0.006784723315320485|-0.006818476826541809|-0.006818476826541809|5.476329938858607e-07|5.476329938858607e-07|5.476329938858607e-07|5.476329938858607e-07|5.476329938858607e-07|5.476329938858607e-07|0.0|0.0|0.0|-0.006817929193547924
2020-06-01|-0.006814496350119393|-0.006845553218539367|-0.006780318988810809|-0.006814496350119393|-0.006814496350119393|1.2807229234692267e-06|1.2807229234692267e-06|1.2807229234692267e-06|1.2807229234692267e-06|1.2807229234692267e-06|1.2807229234692267e-06|0.0|0.0|0.0|-0.006813215627195924
2020-06-02|-0.006810515873696976|-0.006843211211714971|-0.00677786719055399|-0.006810515873696976|-0.006810515873696976|3.561084827679086e-07|3.561084827679086e-07|3.561084827679086e-07|3.561084827679086e-07|3.561084827679086e-07|3.561084827679086e-07|0.0|0.0|0.0|-0.0068101597652142085
2020-06-03|-0.0068065353972745594|-0.00683766713707139|-0.006775376849254535|-0.0068065353972745594|-0.0068065353972745594|-1.2552866989246166e-07|-1.2552866989246166e-07|-1.2552866989246166e-07|-1.2552866989246166e-07|-1.2552866989246166e-07|-1.2552866989246166e-07|0.0|0.0|0.0|-0.006806660925944452
2020-06-04|-0.0068025549208521425|-0.006836713377016204|-0.006771643961481053|-0.0068025549208521425|-0.0068025549208521425|-4.7193071346813244e-08|-4.7193071346813244e-08|-4.7193071346813244e-08|-4.7193071346813244e-08|-4.7193071346813244e-08|-4.7193071346813244e-08|0.0|0.0|0.0|-0.006802602113923489
2020-06-05|-0.006798574444429726|-0.006829834088324637|-0.006768273357272819|-0.006798574444429726|-0.006798574444429726|-1.51554918177861e-06|-1.51554918177861e-06|-1.51554918177861e-06|-1.51554918177861e-06|-1.51554918177861e-06|-1.51554918177861e-06|0.0|0.0|0.0|-0.006800089993611504
2020-06-06|-0.006794593968007309|-0.006825424237403516|-0.006763400104334556|-0.006794593968007309|-0.006794593968007309|-4.961934771016121e-07|-4.961934771016121e-07|-4.961934771016121e-07|-4.961934771016121e-07|-4.961934771016121e-07|-4.961934771016121e-07|0.0|0.0|0.0|-0.00679509016148441
2020-06-07|-0.006790613491584893|-0.0068204706087987114|-0.006757618793690479|-0.006790613491584893|-0.006790613491584893|5.476329938871951e-07|5.476329938871951e-07|5.476329938871951e-07|5.476329938871951e-07|5.476329938871951e-07|5.476329938871951e-07|0.0|0.0|0.0|-0.006790065858591005
2020-06-08|-0.006786633015162475|-0.0068162439756833115|-0.006753043040126103|-0.006786633015162475|-0.006786633015162475|1.2807229234683212e-06|1.2807229234683212e-06|1.2807229234683212e-06|1.2807229234683212e-06|1.2807229234683212e-06|1.2807229234683212e-06|0.0|0.0|0.0|-0.006785352292239006
2020-06-09|-0.006782652538740059|-0.006813671582635378|-0.00675095125001335|-0.006782652538740059|-0.006782652538740059|3.561084827707899e-07|3.561084827707899e-07|3.561084827707899e-07|3.561084827707899e-07|3.561084827707899e-07|3.561084827707899e-07|0.0|0.0|0.0|-0.006782296430257288
2020-06-10|-0.006778672062317642|-0.006812804860004608|-0.006746514545146877|-0.006778672062317642|-0.006778672062317642|-1.2552866989503926e-07|-1.2552866989503926e-07|-1.2552866989503926e-07|-1.2552866989503926e-07|-1.2552866989503926e-07|-1.2552866989503926e-07|0.0|0.0|0.0|-0.006778797590987537
2020-06-11|-0.006774691585895225|-0.006806928164041339|-0.006742678893043783|-0.006774691585895226|-0.006774691585895226|-4.719307134843684e-08|-4.719307134843684e-08|-4.719307134843684e-08|-4.719307134843684e-08|-4.719307134843684e-08|-4.719307134843684e-08|0.0|0.0|0.0|-0.006774738778966573
2020-06-12|-0.006770711109472809|-0.006802615281380921|-0.006742670493999778|-0.006770711109472809|-0.006770711109472809|-1.5155491817791104e-06|-1.5155491817791104e-06|-1.5155491817791104e-06|-1.5155491817791104e-06|-1.5155491817791104e-06|-1.5155491817791104e-06|0.0|0.0|0.0|-0.006772226658654588
2020-06-13|-0.006766730633050391|-0.006799225888110896|-0.006735107026011742|-0.006766730633050391|-0.006766730633050391|-4.961934771000999e-07|-4.961934771000999e-07|-4.961934771000999e-07|-4.961934771000999e-07|-4.961934771000999e-07|-4.961934771000999e-07|0.0|0.0|0.0|-0.006767226826527491
2020-06-14|-0.006762750156627975|-0.0067949881605867055|-0.006730392534236657|-0.006762750156627975|-0.006762750156627975|5.476329938815856e-07|5.476329938815856e-07|5.476329938815856e-07|5.476329938815856e-07|5.476329938815856e-07|5.476329938815856e-07|0.0|0.0|0.0|-0.006762202523634094
2020-06-15|-0.006758769680205557|-0.006787734566755622|-0.006726032232262981|-0.006758769680205557|-0.006758769680205557|1.2807229234674162e-06|1.2807229234674162e-06|1.2807229234674162e-06|1.2807229234674162e-06|1.2807229234674162e-06|1.2807229234674162e-06|0.0|0.0|0.0|-0.006757488957282089
2020-06-16|-0.006754789206015425|-0.006784214441144343|-0.006723124063874|-0.006754789206015425|-0.006754789206015425|3.561084827684417e-07|3.561084827684417e-07|3.561084827684417e-07|3.561084827684417e-07|3.561084827684417e-07|3.561084827684417e-07|0.0|0.0|0.0|-0.006754433097532656
2020-06-17|-0.006750808731825292|-0.006782968439990503|-0.006719697172060167|-0.006750808731825292|-0.006750808731825292|-1.2552866989348588e-07|-1.2552866989348588e-07|-1.2552866989348588e-07|-1.2552866989348588e-07|-1.2552866989348588e-07|-1.2552866989348588e-07|0.0|0.0|0.0|-0.006750934260495185
2020-06-18|-0.00674682825763516|-0.006779393927994789|-0.006715140602786646|-0.00674682825763516|-0.00674682825763516|-4.7193071348706025e-08|-4.7193071348706025e-08|-4.7193071348706025e-08|-4.7193071348706025e-08|-4.7193071348706025e-08|-4.7193071348706025e-08|0.0|0.0|0.0|-0.006746875450706508
2020-06-19|-0.006742847783445027|-0.006775316920663974|-0.006713104639069881|-0.006742847783445027|-0.006742847783445027|-1.5155491817796105e-06|-1.5155491817796105e-06|-1.5155491817796105e-06|-1.5155491817796105e-06|-1.5155491817796105e-06|-1.5155491817796105e-06|0.0|0.0|0.0|-0.006744363332626807
2020-06-20|-0.006738867309254894|-0.006771151510926213|-0.006707848162044951|-0.006738867309254894|-0.006738867309254894|-4.96193477104707e-07|-4.96193477104707e-07|-4.96193477104707e-07|-4.96193477104707e-07|-4.96193477104707e-07|-4.96193477104707e-07|0.0|0.0|0.0|-0.006739363502731999
2020-06-21|-0.006734886835064762|-0.00676687143555823|-0.006700649791934842|-0.006734886835064762|-0.006734886835064762|5.476329938845184e-07|5.476329938845184e-07|5.476329938845184e-07|5.476329938845184e-07|5.476329938845184e-07|5.476329938845184e-07|0.0|0.0|0.0|-0.006734339202070877
2020-06-22|-0.006730906360874629|-0.006762109973436886|-0.006699454152330798|-0.006730906360874629|-0.006730906360874629|1.2807229234687115e-06|1.2807229234687115e-06|1.2807229234687115e-06|1.2807229234687115e-06|1.2807229234687115e-06|1.2807229234687115e-06|0.0|0.0|0.0|-0.00672962563795116
2020-06-23|-0.006726925886684497|-0.00675852867117095|-0.00669569656829551|-0.006726925886684497|-0.006726925886684497|3.561084827708285e-07|3.561084827708285e-07|3.561084827708285e-07|3.561084827708285e-07|3.561084827708285e-07|3.561084827708285e-07|0.0|0.0|0.0|-0.006726569778201726
2020-06-24|-0.0067229454124943635|-0.006757353844194175|-0.00669159936688415|-0.0067229454124943635|-0.0067229454124943635|-1.255286698919324e-07|-1.255286698919324e-07|-1.255286698919324e-07|-1.255286698919324e-07|-1.255286698919324e-07|-1.255286698919324e-07|0.0|0.0|0.0|-0.006723070941164255
2020-06-25|-0.006718964938304231|-0.006753090699957994|-0.00668775220554493|-0.006718964938304231|-0.006718964938304231|-4.719307134579445e-08|-4.719307134579445e-08|-4.719307134579445e-08|-4.719307134579445e-08|-4.719307134579445e-08|-4.719307134579445e-08|0.0|0.0|0.0|-0.006719012131375577
2020-06-26|-0.006714984464114098|-0.006748508668410013|-0.006687157478163979|-0.006714984464114098|-0.006714984464114098|-1.515549181780111e-06|-1.515549181780111e-06|-1.515549181780111e-06|-1.515549181780111e-06|-1.515549181780111e-06|-1.515549181780111e-06|0.0|0.0|0.0|-0.0067165000132958785
2020-06-27|-0.006711003989923966|-0.006744605886114736|-0.006680863310370381|-0.006711003989923966|-0.006711003989923966|-4.961934771038738e-07|-4.961934771038738e-07|-4.961934771038738e-07|-4.961934771038738e-07|-4.961934771038738e-07|-4.961934771038738e-07|0.0|0.0|0.0|-0.00671150018340107
2020-06-28|-0.006707023515733834|-0.006739089361402865|-0.006674494693629975|-0.006707023515733834|-0.006707023515733834|5.476329938842545e-07|5.476329938842545e-07|5.476329938842545e-07|5.476329938842545e-07|5.476329938842545e-07|5.476329938842545e-07|0.0|0.0|0.0|-0.00670647588273995
2020-06-29|-0.0067030430415437004|-0.006731905936023297|-0.006669961652975144|-0.0067030430415437004|-0.0067030430415437004|1.280722923467806e-06|1.280722923467806e-06|1.280722923467806e-06|1.280722923467806e-06|1.280722923467806e-06|1.280722923467806e-06|0.0|0.0|0.0|-0.006701762318620233
2020-06-30|-0.006699062567353568|-0.00673387279943868|-0.006668334763624922|-0.006699062567353568|-0.006699062567353568|3.561084827684802e-07|3.561084827684802e-07|3.561084827684802e-07|3.561084827684802e-07|3.561084827684802e-07|3.561084827684802e-07|0.0|0.0|0.0|-0.0066987064588707994
2020-07-01|-0.006722512752919868|-0.00675682608080066|-0.006693201827942395|-0.006722512752919868|-0.006722512752919868|-1.255286698922138e-07|-1.255286698922138e-07|-1.255286698922138e-07|-1.255286698922138e-07|-1.255286698922138e-07|-1.255286698922138e-07|0.0|0.0|0.0|-0.00672263828158976
2020-07-02|-0.0067459629384861676|-0.006778974083996081|-0.006714808616643934|-0.0067459629384861676|-0.0067459629384861676|-4.719307134606363e-08|-4.719307134606363e-08|-4.719307134606363e-08|-4.719307134606363e-08|-4.719307134606363e-08|-4.719307134606363e-08|0.0|0.0|0.0|-0.006746010131557513
2020-07-03|-0.006769413124052468|-0.006800015789098654|-0.006738072782477361|-0.006769413124052468|-0.006769413124052468|-1.5155491817802365e-06|-1.5155491817802365e-06|-1.5155491817802365e-06|-1.5155491817802365e-06|-1.5155491817802365e-06|-1.5155491817802365e-06|0.0|0.0|0.0|-0.006770928673234249
2020-07-04|-0.006792863309618768|-0.00682542985354768|-0.006762506812232932|-0.006792863309618768|-0.006792863309618768|-4.961934771030404e-07|-4.961934771030404e-07|-4.961934771030404e-07|-4.961934771030404e-07|-4.961934771030404e-07|-4.961934771030404e-07|0.0|0.0|0.0|-0.006793359503095871
2020-07-05|-0.006816313495185068|-0.006847259610291061|-0.006783783161764581|-0.006816313495185068|-0.006816313495185068|5.47632993883991e-07|5.47632993883991e-07|5.47632993883991e-07|5.47632993883991e-07|5.47632993883991e-07|5.47632993883991e-07|0.0|0.0|0.0|-0.0068157658621911844
2020-07-06|-0.006839763680751368|-0.006869594495562117|-0.006805900972995214|-0.006839763680751368|-0.006839763680751368|1.2807229234691278e-06|1.2807229234691278e-06|1.2807229234691278e-06|1.2807229234691278e-06|1.2807229234691278e-06|1.2807229234691278e-06|0.0|0.0|0.0|-0.0068384829578278985
2020-07-07|-0.006863213866317668|-0.006895205025163676|-0.006830659606487421|-0.006863213866317668|-0.006863213866317668|3.5610848276849947e-07|3.5610848276849947e-07|3.5610848276849947e-07|3.5610848276849947e-07|3.5610848276849947e-07|3.5610848276849947e-07|0.0|0.0|0.0|-0.006862857757834899
