date,close,open,high,low,trend
2010-01-01,79.8975,79.3675,80.4475,79.2775,False
2010-01-02,80.435,79.455,80.895,79.395,True
2010-01-03,80.9725,79.5425,81.3425,79.5125,True
2010-01-04,81.51,79.63,81.79,79.63,True
2010-01-05,81.77,81.63,82.0,80.95,True
2010-01-06,83.18,81.43,83.52,80.85,True
2010-01-07,82.66,83.2,83.36,82.26,True
2010-01-08,82.75,82.65,83.47,81.8,True
2010-01-09,82.6733333333333,82.7266666666667,83.63,81.8533333333333,True
2010-01-10,82.59666666666669,82.8033333333333,83.79,81.9066666666667,True
2010-01-11,82.52,82.88,83.95,81.96,True
2010-01-12,80.79,82.07,82.34,79.91,True
2010-01-13,79.65,80.06,80.67,78.37,True
2010-01-14,79.39,79.63,80.36,78.92,False
2010-01-15,78.0,79.2,79.31,77.7,False
2010-01-16,78.255,78.8625,79.27,77.465,False
2010-01-17,78.51,78.525,79.23,77.23,False
2010-01-18,78.765,78.1875,79.19,76.995,False
2010-01-19,79.02,77.85,79.15,76.76,False
2010-01-20,77.62,78.88,79.03,76.96,False
2010-01-21,76.08,77.56,78.36,75.66,False
2010-01-22,74.54,75.84,76.5,74.01,False
2010-01-23,74.78,75.3066666666667,76.14,74.0266666666667,False
2010-01-24,75.02,74.7733333333333,75.78,74.04333333333331,False
2010-01-25,75.26,74.24,75.42,74.06,False
2010-01-26,74.71,75.28,75.39,73.82,False
2010-01-27,73.67,74.69,75.09,72.65,False
2010-01-28,73.64,73.75,74.49,72.93,False
2010-01-29,72.89,73.89,74.82,72.43,False
2010-01-30,73.40333333333331,73.54,74.8766666666667,72.45,False
2010-01-31,73.9166666666667,73.19,74.9333333333333,72.47,False
2010-02-01,74.43,72.84,74.99,72.49,False
2010-02-02,77.23,74.94,77.41,74.4,False
2010-02-03,76.98,76.99,78.04,76.52,False
2010-02-04,73.14,77.09,77.17,72.42,False
2010-02-05,71.19,73.04,73.94,69.5,False
2010-02-06,71.4233333333333,72.7533333333333,73.4233333333333,69.9233333333333,False
2010-02-07,71.6566666666667,72.4666666666667,72.9066666666667,70.34666666666669,False
2010-02-08,71.89,72.18,72.39,70.77,False
2010-02-09,73.75,71.68,74.15,71.32,False
2010-02-10,74.52,73.79,74.97,72.6,False
2010-02-11,75.28,74.65,75.69,73.38,False
2010-02-12,74.13,75.3,75.35,72.66,False
2010-02-13,74.85,74.98,75.8675,72.9225,False
2010-02-14,75.57,74.66,76.385,73.185,False
2010-02-15,76.29,74.34,76.9025,73.4475,False
2010-02-16,77.01,74.02,77.42,73.71,False
2010-02-17,77.33,77.32,77.82,76.53,False
2010-02-18,79.06,77.29,79.29,76.32,False
2010-02-19,79.81,78.37,80.1,77.76,False
2010-02-20,79.9266666666667,78.9466666666667,80.2366666666667,78.3233333333333,False
2010-02-21,80.04333333333331,79.5233333333333,80.3733333333333,78.8866666666667,False
2010-02-22,80.16,80.1,80.51,79.45,False
2010-02-23,78.86,80.03,80.39,78.22,False
2010-02-24,80.0,79.13,80.45,78.25,False
2010-02-25,78.17,80.31,80.32,77.05,False
2010-02-26,79.66,78.33,80.05,77.82,True
2010-02-27,79.34,78.8333333333333,80.24,77.9,True
2010-02-28,79.02,79.3366666666667,80.43,77.98,True
2010-03-01,78.7,79.84,80.62,78.06,True
2010-03-02,79.68,78.88,80.95,78.26,True
2010-03-03,80.87,79.64,81.23,79.44,True
2010-03-04,80.21,81.01,81.09,79.7,True
2010-03-05,81.5,80.58,82.07,80.47,True
2010-03-06,81.6233333333333,80.9833333333333,82.1833333333333,80.5633333333333,True
2010-03-07,81.7466666666667,81.3866666666667,82.2966666666667,80.6566666666667,True
2010-03-08,81.87,81.79,82.41,80.75,True
2010-03-09,81.49,81.75,81.91,80.16,True
2010-03-10,82.09,81.38,83.03,80.81,True
2010-03-11,82.11,81.98,82.38,81.33,True
2010-03-12,81.24,82.2,83.16,80.57,True
2010-03-13,80.76,81.8433333333333,82.54333333333331,80.09,True
2010-03-14,80.28,81.4866666666667,81.9266666666667,79.61,True
2010-03-15,79.8,81.13,81.31,79.13,True
2010-03-16,81.7,79.84,82.1,79.32,True
2010-03-17,82.93,82.05,83.09,81.72,True
2010-03-18,82.2,82.85,82.85,81.68,True
2010-03-19,80.68,82.17,82.17,79.86,True
2010-03-20,80.87,81.7566666666667,81.9433333333333,79.43,True
2010-03-21,81.06,81.3433333333333,81.7166666666667,79.0,True
2010-03-22,81.25,80.93,81.49,78.57,True
2010-03-23,81.91,81.81,82.2,80.85,True
2010-03-24,80.61,81.58,81.64,79.88,True
2010-03-25,80.53,80.25,81.48,80.1,True
2010-03-26,80.0,80.13,81.46,79.54,True
2010-03-27,80.7233333333333,80.1666666666667,81.9,79.7533333333333,True
2010-03-28,81.4466666666667,80.2033333333333,82.34,79.9666666666667,True
2010-03-29,82.17,80.24,82.78,80.18,True
2010-03-30,82.37,82.5,82.74,81.77,True
2010-03-31,83.76,82.5,83.85,82.22,True
2010-04-01,84.87,83.36,85.37,83.21,True
2010-04-02,85.3075,83.8475,85.7525,83.6725,True
2010-04-03,85.745,84.335,86.135,84.135,True
2010-04-04,86.1825,84.8225,86.5175,84.5975,True
2010-04-05,86.62,85.31,86.9,85.06,True
2010-04-06,86.84,86.74,87.09,86.13,True
2010-04-07,85.88,86.76,87.0,85.52,True
2010-04-08,85.39,85.64,85.88,84.38,True
2010-04-09,84.92,85.56,86.37,84.12,True
2010-04-10,84.7266666666667,85.43,86.15,84.1066666666667,True
2010-04-11,84.5333333333333,85.3,85.93,84.0933333333333,True
2010-04-12,84.34,85.17,85.71,84.08,True
2010-04-13,84.05,84.36,84.42,82.51,True
2010-04-14,85.84,83.82,86.39,83.71,True
2010-04-15,85.51,85.91,86.27,85.27,True
2010-04-16,83.24,85.35,85.44,82.52,True
2010-04-17,82.6433333333333,84.54,84.6266666666667,81.8566666666667,True
2010-04-18,82.0466666666667,83.73,83.8133333333333,81.1933333333333,True
2010-04-19,81.45,82.92,83.0,80.53,True
2010-04-20,83.45,81.69,83.65,81.51,True
2010-04-21,83.68,84.03,84.64,82.92,True
2010-04-22,83.7,83.47,84.07,81.73,True
2010-04-23,85.12,83.75,85.19,82.92,True
2010-04-24,84.8133333333333,84.24,85.3366666666667,83.19,True
2010-04-25,84.5066666666667,84.73,85.4833333333333,83.46,True
2010-04-26,84.2,85.22,85.63,83.73,True
2010-04-27,82.44,83.89,84.33,81.7,True
2010-04-28,83.22,81.84,83.44,81.29,True
2010-04-29,85.17,83.33,85.63,83.01,True
2010-04-30,86.15,85.58,86.5,85.16,True
2010-05-01,86.1633333333333,85.7866666666667,86.7166666666667,85.3833333333333,True
2010-05-02,86.1766666666667,85.9933333333333,86.9333333333333,85.6066666666667,True
2010-05-03,86.19,86.2,87.15,85.83,True
2010-05-04,82.74,86.09,86.24,82.05,True
2010-05-05,79.97,82.13,82.83,79.15,True
2010-05-06,77.11,79.63,80.39,74.58,True
2010-05-07,75.11,76.95,78.19,74.51,True
2010-05-08,75.6733333333333,76.67,78.2966666666667,74.94,True
2010-05-09,76.2366666666667,76.39,78.40333333333331,75.37,True
2010-05-10,76.8,76.11,78.51,75.8,True
2010-05-11,76.37,77.26,77.68,75.36,True
2010-05-12,75.65,75.89,77.0,74.75,False
2010-05-13,74.4,75.47,76.45,73.62,False
2010-05-14,71.61,73.99,74.13,70.83,False
2010-05-15,71.1,73.2566666666667,73.5033333333333,70.31,False
2010-05-16,70.59,72.5233333333333,72.8766666666667,69.79,False
2010-05-17,70.08,71.79,72.25,69.27,False
2010-05-18,69.41,70.5,72.52,68.91,False
2010-05-19,69.87,69.11,71.43,67.9,False
2010-05-20,68.01,71.2,71.29,64.24,False
2010-05-21,70.04,69.52,71.23,69.0,False
2010-05-22,70.09666666666669,69.8866666666667,71.14,69.19,False
2010-05-23,70.15333333333331,70.2533333333333,71.05,69.38,False
2010-05-24,70.21,70.62,70.96,69.57,False
2010-05-25,68.75,69.9,70.04,67.15,False
2010-05-26,71.51,70.06,71.7,69.21,False
2010-05-27,74.55,70.74,74.95,70.67,False
2010-05-28,73.97,74.9,75.72,73.13,False
2010-05-29,73.6225,74.6675,75.6225,72.7575,False
2010-05-30,73.275,74.435,75.525,72.385,False
2010-05-31,72.9275,74.2025,75.4275,72.0125,False
2010-06-01,72.58,73.97,75.33,71.64,False
2010-06-02,72.86,71.94,73.93,71.68,False
