ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|weekly|weekly_lower|weekly_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2020-07-01|-0.038502132846509274|-0.04028512157251849|-0.037812326169923687|-0.038502132846509274|-0.038502132846509274|-0.0005086387617155044|-0.0005086387617155044|-0.0005086387617155044|-0.0005086387617155044|-0.0005086387617155044|-0.0005086387617155044|0.0|0.0|0.0|-0.039010771608224776
2020-07-02|-0.038417419364529984|-0.03956197539587442|-0.03712949217236111|-0.038417419364529984|-0.038417419364529984|0.00010871492578968381|0.00010871492578968381|0.00010871492578968381|0.00010871492578968381|0.00010871492578968381|0.00010871492578968381|0.0|0.0|0.0|-0.0383087044387403
2020-07-03|-0.0383327058825507|-0.03949175306712023|-0.03689989601746568|-0.0383327058825507|-0.0383327058825507|9.812497205432588e-05|9.812497205432588e-05|9.812497205432588e-05|9.812497205432588e-05|9.812497205432588e-05|9.812497205432588e-05|0.0|0.0|0.0|-0.03823458091049638
2020-07-04|-0.03824799240057141|-0.03950909150349851|-0.03688147291393328|-0.03824799240057141|-0.03824799240057141|8.88578397371255e-05|8.88578397371255e-05|8.88578397371255e-05|8.88578397371255e-05|8.88578397371255e-05|8.88578397371255e-05|0.0|0.0|0.0|-0.038159134560834286
2020-07-05|-0.03816327891859213|-0.039371121370684964|-0.03681796981910451|-0.03816327891859213|-0.03816327891859213|7.959070742072745e-05|7.959070742072745e-05|7.959070742072745e-05|7.959070742072745e-05|7.959070742072745e-05|7.959070742072745e-05|0.0|0.0|0.0|-0.0380836882111714
2020-07-06|-0.03807856543661284|-0.03930214631832157|-0.03671138147341665|-0.03807856543661284|-0.03807856543661284|7.053791566147972e-05|7.053791566147972e-05|7.053791566147972e-05|7.053791566147972e-05|7.053791566147972e-05|7.053791566147972e-05|0.0|0.0|0.0|-0.03800802752095136
2020-07-07|-0.038006431410527654|-0.03920361873247387|-0.03653270778535868|-0.038006431410527654|-0.038006431410527654|6.281240104857005e-05|6.281240104857005e-05|6.281240104857005e-05|6.281240104857005e-05|6.281240104857005e-05|6.281240104857005e-05|0.0|0.0|0.0|-0.03794361900947908
2020-07-08|-0.03793429738444247|-0.03981661378248974|-0.03718343075270145|-0.03793429738444247|-0.03793429738444247|-0.0005086387617154857|-0.0005086387617154857|-0.0005086387617154857|-0.0005086387617154857|-0.0005086387617154857|-0.0005086387617154857|0.0|0.0|0.0|-0.03844293614615796
2020-07-09|-0.03786216335835729|-0.03904275007215952|-0.03645637990217415|-0.03786216335835729|-0.03786216335835729|0.00010871492579039941|0.00010871492579039941|0.00010871492579039941|0.00010871492579039941|0.00010871492579039941|0.00010871492579039941|0.0|0.0|0.0|-0.037753448432566894
2020-07-10|-0.03779002933227211|-0.03889021164563971|-0.036479382978057355|-0.03779002933227211|-0.03779002933227211|9.812497205550237e-05|9.812497205550237e-05|9.812497205550237e-05|9.812497205550237e-05|9.812497205550237e-05|9.812497205550237e-05|0.0|0.0|0.0|-0.037691904360216605
2020-07-11|-0.037733150382148146|-0.03886015032323648|-0.03646539956436946|-0.037733150382148146|-0.037733150382148146|8.885783973792287e-05|8.885783973792287e-05|8.885783973792287e-05|8.885783973792287e-05|8.885783973792287e-05|8.885783973792287e-05|0.0|0.0|0.0|-0.037644292542410224
2020-07-12|-0.03767627143202419|-0.038862406553140494|-0.03630134776804617|-0.03767627143202419|-0.03767627143202419|7.95907074223348e-05|7.95907074223348e-05|7.95907074223348e-05|7.95907074223348e-05|7.95907074223348e-05|7.95907074223348e-05|0.0|0.0|0.0|-0.03759668072460186
2020-07-13|-0.037619392481900236|-0.03878538904012199|-0.03622644331560024|-0.037619392481900236|-0.037619392481900236|7.053791566123425e-05|7.053791566123425e-05|7.053791566123425e-05|7.053791566123425e-05|7.053791566123425e-05|7.053791566123425e-05|0.0|0.0|0.0|-0.037548854566239
2020-07-14|-0.037562513531776275|-0.03879377330395267|-0.036212049487434755|-0.037562513531776275|-0.037562513531776275|6.281240104839548e-05|6.281240104839548e-05|6.281240104839548e-05|6.281240104839548e-05|6.281240104839548e-05|6.281240104839548e-05|0.0|0.0|0.0|-0.037499701130727876
2020-07-15|-0.037505634581652326|-0.03928670718578159|-0.03666659715311142|-0.037505634581652326|-0.037505634581652326|-0.0005086387617154669|-0.0005086387617154669|-0.0005086387617154669|-0.0005086387617154669|-0.0005086387617154669|-0.0005086387617154669|0.0|0.0|0.0|-0.038014273343367794
2020-07-16|-0.03746526685354059|-0.03858032839497913|-0.03608983824315387|-0.03746526685354059|-0.03746526685354059|0.00010871492579111501|0.00010871492579111501|0.00010871492579111501|0.00010871492579111501|0.00010871492579111501|0.00010871492579111501|0.0|0.0|0.0|-0.037356551927749476
2020-07-17|-0.037424899125428866|-0.038575856117738026|-0.036084125237942855|-0.037424899125428866|-0.037424899125428866|9.812497205476216e-05|9.812497205476216e-05|9.812497205476216e-05|9.812497205476216e-05|9.812497205476216e-05|9.812497205476216e-05|0.0|0.0|0.0|-0.037326774153374105
2020-07-18|-0.037384531397317136|-0.03854625822922071|-0.03601320805932093|-0.037384531397317136|-0.037384531397317136|8.885783973824469e-05|8.885783973824469e-05|8.885783973824469e-05|8.885783973824469e-05|8.885783973824469e-05|8.885783973824469e-05|0.0|0.0|0.0|-0.037295673557578894
2020-07-19|-0.037344163669205406|-0.03848780093894894|-0.03594786981698287|-0.03734416366920541|-0.03734416366920541|7.959070742152144e-05|7.959070742152144e-05|7.959070742152144e-05|7.959070742152144e-05|7.959070742152144e-05|7.959070742152144e-05|0.0|0.0|0.0|-0.037264572961783884
